city_key,customer_city,customer_state,macro_region,lon,lat,n_orders,mean_actual_delivery_days
bambui|MG,bambui,MG,Southeast,-45.97682619326723,-20.014658366858797,17,11.144963916122004
banabuiu|CE,banabuiu,CE,Northeast,-38.91986830178344,-5.3065450454341905,1,22.269756944444445
bananal|SP,bananal,SP,Southeast,-44.319953079792256,-22.681898539665283,3,10.57673611111111
bananeiras|PB,bananeiras,PB,Northeast,-35.63419904821568,-6.751304322520536,5,16.76816898148148
bandeira do sul|MG,bandeira do sul,MG,Southeast,-46.38708260903651,-21.72920349988201,2,10.83032986111111
bandeirantes d'oeste|SP,bandeirantes d'oeste,SP,Southeast,-50.377957047095386,-23.106241494540207,1,13.466608796296295
bandeirantes do tocantins|TO,bandeirantes do tocantins,TO,North,-48.57709039064408,-7.758556775500446,2,16.567314814814814
bandeirantes|MS,bandeirantes,MS,Central-West,-54.36572815008397,-19.91921687307344,1,25.283252314814813
bandeirantes|PR,bandeirantes,PR,South,-50.37170420992222,-23.112752567698298,13,10.349086538461538
bandeira|MG,bandeira,MG,Southeast,-40.56249153801357,-15.885445648123213,3,13.569837962962962
banzae|BA,banzae,BA,Northeast,-38.61167602425525,-10.585664947618405,1,31.330439814814813
barao ataliba nogueira|SP,barao ataliba nogueira,SP,Southeast,-46.74588902639177,-22.390765608084067,1,14.203587962962963
barao de cocais|MG,barao de cocais,MG,Southeast,-43.48155081485123,-19.939172305487048,18,11.793319830246913
barao de cotegipe|RS,barao de cotegipe,RS,South,-52.37558152678575,-27.622033620591296,2,10.866221064814816
barao de juparana|RJ,barao de juparana,RJ,Southeast,-43.68004722990022,-22.34430304897267,1,4.209641203703704
barao do triunfo|RS,barao do triunfo,RS,South,-51.73681428936457,-30.391152443153565,1,19.91337962962963
barao|RS,barao,RS,South,-51.498167029389634,-29.375210084621216,1,7.562569444444445
barauna|RN,barauna,RN,Northeast,-37.61795373496291,-5.079835571419475,1,12.492083333333333
barbacena|MG,barbacena,MG,Southeast,-43.7729837288461,-21.222461922075603,76,12.275757797270956
barbalha|CE,barbalha,CE,Northeast,-39.30064689068631,-7.310406520950675,6,28.488670910493827
barbosa ferraz|PR,barbosa ferraz,PR,South,-52.01025860180331,-24.02709450835068,3,9.41795138888889
barcarena|PA,barcarena,PA,North,-48.62332303710737,-1.5080751406619344,6,25.91978973765432
bariri|SP,bariri,SP,Southeast,-48.739404089229716,-22.07313272845746,15,10.802310185185185
barra bonita|SP,barra bonita,SP,Southeast,-48.5608452682853,-22.489557434009633,27,12.335659293552812
barra da estiva|BA,barra da estiva,BA,Northeast,-41.32881042848442,-13.626872814287005,7,17.53146164021164
barra de guabiraba|PE,barra de guabiraba,PE,Northeast,-35.663293760208965,-8.418518344072965,2,15.501556712962962
barra de santa rosa|PB,barra de santa rosa,PB,Northeast,-36.05576651694756,-6.722167493756292,1,18.58111111111111
barra de santo antonio|AL,barra de santo antonio,AL,Northeast,-35.50977215343404,-9.403580723866533,2,19.898987268518518
barra de sao francisco|ES,barra de sao francisco,ES,Southeast,-40.89073654692504,-18.75580270582005,9,14.754047067901235
barra de sao joao|RJ,barra de sao joao,RJ,Southeast,-41.987906580264394,-22.576493693936698,13,12.596087072649572
